Bouquets, Product Name ,Design,Lenght/ cm,Bouquet Lenght / inches,Box type,units / Box,Stems / Bouquet,Price by,DSD Fedex,DSD Fedex HIGH SEASON
Gingers-Seasonal,Shampoo Ginger XL Bicolor,Shampoo seasonal (Oct-April),50,19.9,QB-P9,20,1,Price by stem,$4.86,$5.43
Gingers-Seasonal,Shampoo Ginger XL Yellow,Shampoo seasonal (Oct-April),50,19.9,QB-P9,20,1,Price by stem,$4.86,$5.43
Gingers-Seasonal,Shampoo Ginger XL Red,Shampoo seasonal (Oct-April),50,19.9,QB-P9,20,1,Price by stem,$4.86,$5.43
Gingers-Seasonal,Shampoo Ginger XL Peach,Shampoo seasonal (Oct-April),50,19.9,QB-P9,20,1,Price by stem,$4.86,$5.43
Gingers-Seasonal,Shampoo Ginger XL Brown,Shampoo seasonal (Oct-April),50,19.9,QB-P9,20,1,Price by stem,$4.86,$5.43
Gingers-Seasonal,Shampoo Ginger White,Shampoo seasonal (Oct-April),50,19.9,1/8,20,1,Price by stem,$3.04,$3.33
Heliconia up-right XL,Hel. Prince of Darkness Large,,90,35.7,HB-P14,10,1,Price by stem,$14.74,$16.64
Heliconia up-right XL,Hel. Caribaea Red Large,,90,35.7,HB,10,1,Price by stem,$13.44,$15.13
Heliconia up-right XL,Hel. Terracota XL,,120,47.6,XL-130,12,1,Price by stem,$20.73,$22.60
Heliconia up-right XL,Hel. Terracota Large,,90,35.7,HB,12,1,Price by stem,$11.96,$13.48
Heliconia up-right XL,Hel. Rauliana Large XL,,90,35.7,XL-130,10,1,Price by stem,$23.74,$25.82
Heliconia up-right XL,Hel. Rauliana Large,,90,35.7,HB,10,1,Price by stem,$13.21,$14.87
Heliconia up-right XL,Hel. Iris red Xlarge,,120,47.6,XL-130-P17,16,1,Price by stem,$14.26,$15.47
Heliconia up-right XL,Hel. Iris red - big blooms 5-6 bracteas,,90,35.7,HB,18,1,Price by stem,$6.68,$7.50
Heliconia up-right XL,Hel. Iris red - big blooms 5-6 bracteas,,90,35.7,QB,8,1,Price by stem,$8.10,$8.91
Heliconia up-right,Hel. Iris red Large,,90,35.7,HB-P13,20,1,Price by stem,$6.51,$7.33
Heliconia up-right,Hel. Iris red Large,,90,35.7,QB-P7,10,1,Price by stem,$7.31,$8.09
Heliconia up-right,Hel. Iris red Medium,,75,29.8,1/8,6,1,Price by stem,$7.12,$7.65
Heliconia up-right XL,Hel. Wagneriana Yellow XL,,120,47.6,XL-130,16,1,Price by stem,$14.41,$15.64
Heliconia up-right,Hel. Wagneriana Yellow Large,,90,35.7,HB-P14,20,1,Price by stem,$7.01,$7.91
Heliconia up-right,Hel. Wagneriana Yellow Large,,90,35.7,QB,10,1,Price by stem,$6.99,$7.72
Heliconia up-right,Hel. Wagneriana Yellow Medium,,75,29.8,1/8-P4,6,1,Price by stem,$7.83,$8.48
Heliconia up-right XL,Hel. Flamingo XL,,120,47.6,XL-130,16,1,Price by stem,$14.51,$15.75
Heliconia up-right,Hel. Flamingo Large,,90,35.7,HB,20,1,Price by stem,$6.81,$7.67
Heliconia up-right,Hel. Flamingo Large,,90,35.7,QB,10,1,Price by stem,$7.44,$8.23
Heliconia up-right,Hel. Flamingo Medium,,75,29.8,1/8-P4,6,1,Price by stem,$8.28,$8.99
Heliconia up-right XL,Hel. Wagneriana Red XL,,120,47.6,XL-130,16,1,Price by stem,$14.51,$15.75
Heliconia up-right,Hel. Wagneriana Red Large,,90,35.7,HB-P14,20,1,Price by stem,$7.46,$8.42
Heliconia up-right,Hel. Wagneriana Red Large,,90,35.7,QB-P8,10,1,Price by stem,$8.59,$9.55
Heliconia up-right,Hel. Wagneriana Red Medium,,75,29.8,1/8-P4,6,1,Price by stem,$8.28,$8.99
Heliconia up-right XL,Hel. Nativa XL,,120,47.6,XL-130,16,1,Price by stem,$14.51,$15.75
Heliconia up-right,Hel. Nativa Large,,90,35.7,HB-P14,20,1,Price by stem,$7.46,$8.42
Heliconia up-right,Hel. Nativa Large,,90,35.7,QB-P8,10,1,Price by stem,$8.59,$9.55
Heliconia up-right,Hel. Nativa Medium,,75,29.8,1/8,6,1,Price by stem,$7.74,$8.36
Heliconia up-right,Hel. Sunshine Large,,90,35.7,HB,20,1,Price by stem,$6.71,$7.56
Heliconia up-right,Hel. Sunshine Large,,90,35.7,QB,10,1,Price by stem,$7.34,$8.12
Heliconia up-right,Hel. Sunshine Medium,,75,29.8,1/8,6,1,Price by stem,$7.64,$8.25
Heliconia up-right,Hel. Peach Pink Large,,90,35.7,HB,20,1,Price by stem,$6.71,$7.56
Heliconia up-right,Hel. Peach Pink Large,,90,35.7,QB,10,1,Price by stem,$7.34,$8.12
Heliconia up-right,Hel. Peach Pink Medium,,75,29.8,1/8,6,1,Price by stem,$7.64,$8.25
Heliconia up-right,Hel. Bihai Yellow Large,,90,35.7,HB,20,1,Price by stem,$6.71,$7.56
Heliconia up-right,Hel. Bihai Yellow Large,,90,35.7,QB,10,1,Price by stem,$7.34,$8.12
Heliconia up-right,Hel. Bihai Yellow Medium,,75,29.8,1/8,6,1,Price by stem,$7.64,$8.25
Heliconia up-right,Hel. Escarlata Large,,90,35.7,HB,20,1,Price by stem,$6.71,$7.56
Heliconia up-right,Hel. Escarlata Large,,90,35.7,QB,10,1,Price by stem,$7.34,$8.12
Heliconia up-right,Hel. Escarlata Medium,,75,29.8,1/8,6,1,Price by stem,$7.64,$8.25
Heliconia up-right,Hel. Esmeralda Large,,90,35.7,HB,20,1,Price by stem,$6.71,$7.56
Heliconia up-right,Hel. Esmeralda Large,,90,35.7,QB,10,1,Price by stem,$7.34,$8.12
Heliconia up-right,Hel. Esmeralda Medium,,75,29.8,1/8,6,1,Price by stem,$7.64,$8.25
Heliconia Hanging,Hel. She Kong XL,,140,55.6,XL-150,14,1,Price by stem,$28.12,$31.28
Heliconia Hanging,Hel. She Kong XL,,140,55.6,QBXL-150,7,1,Price by stem,$34.49,$37.56
Heliconia Hanging,Hel. She Kong Large,,90,35.7,HB,14,1,Price by stem,$18.54,$21.09
Heliconia Hanging,Hel. She Kong Large,,90,35.7,QB,7,1,Price by stem,$19.45,$21.91
Heliconia Hanging,Hel. Bloody Mary Large,,90,35.7,HB-P14,14,1,Price by stem,$16.43,$18.67
Heliconia Hanging,Hel. Bloody Mary Large,,90,35.7,QB-P7,7,1,Price by stem,$17.11,$19.21
Heliconia Hanging,Hel. Sexy Scarlet Large,,90,35.7,HB,26,1,Price by stem,$5.60,$6.32
Heliconia Hanging,Hel. Sexy Scarlet Large,,90,35.7,QB,12,1,Price by stem,$6.42,$7.12
Heliconia Hanging,Hel. Sexy Scarlet Blue Large,,90,35.7,HB,26,1,Price by stem,$5.50,$6.20
Heliconia Hanging,Hel. Sexy Scarlet Blue Large,,90,35.7,QB,12,1,Price by stem,$6.32,$7.00
Heliconia Hanging,Hel. Sexy Orange Large,Specials of the Week,120,47.6,XL-130,15,1,Price by stem,$18.83,$20.66
Heliconia Hanging,Hel. Rostrata Xlarge,10-12 Bracts,120,47.6,XL-130,20,1,Price by stem,$11.52,$12.50
Heliconia Hanging,Hel. Rostrata Large,,90,35.7,HB-P14,30,1,Price by stem,$5.20,$5.88
Heliconia Hanging,Hel. Rostrata Large,,90,35.7,QB-P8,15,1,Price by stem,$5.95,$6.63
Heliconia Hanging,Hel. Rostrata Medium,,75,29.8,1/8,8,1,Price by stem,$5.84,$6.32
Heliconia Hanging,Hel. Rostrata Small,3-4 bracteas,70,27.8,1/8C,12,3,Price by stem,$5.26,$5.78
Heliconia Novelty,Bird of Paradise,,80,31.8,QB,50,1,Price by stem,$2.70,$3.03
Heliconia Novelty,Bird of Paradise,,80,31.8,1/8C,35,1,Price by stem,$2.86,$3.20
Heliconia Novelty,Strilitzia White,,40,15.9,HB,5,1,Price by stem,$25.37,$28.54
Heliconia Parakeet,Hel. Golden Fire Opal,,70,27.8,HB-P15,200,5,Price by stem,$1.13,$1.29
Heliconia Parakeet,Hel. Golden Fire Opal,,70,27.8,QB-P7,100,5,Price by stem,$1.15,$1.29
Heliconia Parakeet,Hel. Golden Fire Opal,,70,27.8,1/8C,50,5,Price by stem,$1.42,$1.57
Heliconia Parakeet,Hel. Golden Opal Red,,70,27.8,HB,200,5,Price by stem,$1.33,$1.51
Heliconia Parakeet,Hel. Golden Opal Red,,70,27.8,QB-P7,100,5,Price by stem,$1.45,$1.63
Heliconia Parakeet,Hel. Golden Opal Red,,70,27.8,1/8C,50,5,Price by stem,$1.72,$1.91
Heliconia Parakeet,Hel. Golden Orange,,70,27.8,HB,200,5,Price by stem,$1.33,$1.51
Heliconia Parakeet,Hel. Golden Orange,,70,27.8,QB-P7,100,5,Price by stem,$1.45,$1.63
Heliconia Parakeet,Hel. Golden Orange,,70,27.8,1/8C,50,5,Price by stem,$1.72,$1.91
Heliconia Parakeet,Hel. Sassy with or without leaves,,70,27.8,HB,200,5,Price by stem,$1.48,$1.69
Heliconia Parakeet,Hel. Sassy with or without leaves,,70,27.8,QB-P7,100,5,Price by stem,$1.60,$1.81
Heliconia Parakeet,Hel. Sassy with or without leaves,,70,27.8,1/8,50,5,Price by stem,$1.69,$1.88
