Branch - GS,Stem Type,VARIETY - GS,PRICE/UNIT - GS,PRICE/UNIT $,Last Updated (Run Date),,,49,,,,,,,,,,,
Miami,Calla - Mini,Calla Lily Mini Nightcap Purple,$2.25,,2025-11-19 17:33:20,,,Gerbera Mini White,,,,,,,#NUM!,,,,#NUM!
Miami,Calla - Mini,Calla Lily Mini Purple,$2.25,,2026-01-21 13:05:19,,,Gomphrena Assorted,,,,,,,,,,#NUM!,#NUM!
Miami,Calla - Mini,Calla Lily Mini White,$1.95,$2.25,2026-02-11 11:49:46,,,Gypsophila Million Star White,$1.05,,,,,,,,,,$1.05
Miami,Carnation,Carnation Brut Blush Fancy,$0.59,,2025-11-25 13:55:16,,,Gypsophila Overtime White,,,#NUM!,,,,,,,,#NUM!
Miami,Carnation,Carnation Burgundy,$0.59,,2025-11-11 13:50:31,,,Gypsophila Xlence White,,,,$0.99,,,$0.83,,,,$0.91
Miami,Carnation,Carnation Hanoi Blush,$0.59,,2025-12-08 11:02:39,,,Helleborus Queens Red,,,,,,,$4.65,,,,$4.65
Miami,Carnation,Carnation Lege Marrone Beige,$0.59,,2025-11-11 13:53:53,,,Helleborus Winterbells Green/White,,,,,,,$2.95,,,,$2.95
Miami,Carnation,Carnation Lizzy Peach Fancy,$0.59,,2025-12-26 11:06:54,,,Huckleberry Green,,,#NUM!,,,,$1.02,,,$0.95,$0.99
Miami,Carnation,Carnation Minerva Purple/White Fancy,$0.59,,2025-12-23 9:14:40,,,Hydrangea Antique Green,,,,,,,$4.50,,,,$4.50
Miami,Carnation,Carnation White,$0.59,,2025-11-10 14:05:47,,,Hydrangea Dark Blue Medium,$2.25,,,,,,,,,,$2.25
Miami,Carnation - Mini,Mini Carnation White,$0.59,,2025-11-25 13:56:00,,,Hydrangea Light Blue,,,,,,,#NUM!,,,,#NUM!
Miami,Chamomile,Chamomile Daisy White,$1.85,,2025-11-11 13:54:48,,,Hydrangea Light Blue Medium,,,,,,,$1.97,,,,$1.97
Miami,Chrysanthemum,China Mum Bronze,$1.50,,2025-11-11 13:53:53,,,Hydrangea Mojito Green,,,,,,,$2.25,,,#NUM!,$2.25
Miami,Chrysanthemum,China Mum White Select,$1.75,,2025-12-09 14:18:56,,,Hydrangea Mojito Green Medium,,$2.50,,,,,$1.85,,,,$2.18
Miami,Chrysanthemum,Chrysanthemum Disbud Andrea Purple,$1.50,,2025-11-11 14:00:06,,,Hydrangea White Medium,,#NUM!,,,#NUM!,$2.25,$1.97,,,$2.25,$2.25
Miami,Chrysanthemum,Chrysanthemum Disbud Ball Red,$1.50,,2025-11-12 13:25:19,,,Hypericum Burgundy,,,,,,,$0.85,,,,$0.85
Miami,Chrysanthemum,Chrysanthemum Disbud Cooper,$1.50,,2025-11-26 10:18:11,,,Hypericum Ivory,,,,,,,$0.85,,,,$0.85
Miami,Chrysanthemum,Chrysanthemum Disbud Cooper Bronze,$1.50,,2025-11-11 13:50:31,,,Hypericum Rocky Romance,,,,,,,$0.85,,,,$0.85
